N	P	K	pH	temperature	humidity	rainfall	soil_type	season	region	label
100	55	165	5.7	25.42	61.76	1050	Loamy	Kharif	Nashik	Dragon Fruit
100	60	160	6.5	25.42	61.76	900	Loamy	Kharif	Nashik	Dragon Fruit
90	30	160	6.4	25.42	61.76	900	Loamy	Kharif	Nashik	Dragon Fruit
80	40	150	6	25.42	61.76	800	Loamy	Kharif	Nashik	Dragon Fruit
80	45	150	6	25.42	61.76	800	Loamy	Kharif	Nashik	Dragon Fruit
120	50	170	5.8	25.42	61.76	950	Loamy	Kharif	Nashik	Dragon Fruit
85	45	155	6.3	25.42	61.76	920	Loamy	Kharif	Nashik	Dragon Fruit
110	55	180	5.9	25.42	61.76	1000	Loamy	Kharif	Nashik	Dragon Fruit
70	45	140	6.2	25.42	61.76	850	Loamy	Kharif	Nashik	Dragon Fruit
50	40	130	6.1	25.42	61.76	750	Loamy	Kharif	Nashik	Dragon Fruit
65	18	32	7.6	25.42	61.76	360	Loamy	Kharif	Nashik	Aloe Vera
62	16	31	7.5	25.42	61.76	355	Loamy	Kharif	Nashik	Aloe Vera
55	12	28	7.4	25.42	61.76	340	Loamy	Kharif	Nashik	Aloe Vera
60	15	30	7.5	25.42	61.76	350	Loamy	Kharif	Nashik	Aloe Vera
60	15	30	7.5	25.42	61.76	350	Loamy	Kharif	Nashik	Aloe Vera
65	38	55	6.2	25.42	61.76	550	Loamy	Kharif	Nashik	Amaranth (Rajgira)
64	37	54	6.8	25.42	61.76	540	Loamy	Kharif	Nashik	Amaranth (Rajgira)
62	36	52	6.4	25.42	61.76	520	Loamy	Kharif	Nashik	Amaranth (Rajgira)
60	35	50	6	25.42	61.76	500	Loamy	Kharif	Nashik	Amaranth (Rajgira)
68	40	58	6.6	25.42	61.76	580	Loamy	Kharif	Nashik	Amaranth (Rajgira)
50	20	58	6.6	25.42	61.76	820	Loamy	Kharif	Nashik	Ashwagandha
45	18	55	6.5	25.42	61.76	800	Loamy	Kharif	Nashik	Ashwagandha
42	16	52	6.4	25.42	61.76	780	Loamy	Kharif	Nashik	Ashwagandha
45	18	55	6.5	25.42	61.76	800	Loamy	Kharif	Nashik	Ashwagandha
48	19	57	6.5	25.42	61.76	810	Loamy	Kharif	Nashik	Ashwagandha
110	65	95	6.8	25.42	61.76	850	Loamy	Kharif	Nashik	Asparagus
108	64	94	6.7	25.42	61.76	830	Loamy	Kharif	Nashik	Asparagus
105	62	92	6.6	25.42	61.76	820	Loamy	Kharif	Nashik	Asparagus
100	60	90	6.5	25.42	61.76	800	Loamy	Kharif	Nashik	Asparagus
115	68	98	7	25.42	61.76	870	Loamy	Kharif	Nashik	Asparagus
75	40	100	6	25.42	61.76	1000	Loamy	Kharif	Nashik	Avocado
90	40	100	6	25.42	61.76	1000	Loamy	Kharif	Nashik	Avocado
80	40	100	6	25.42	61.76	1000	Loamy	Kharif	Nashik	Avocado
70	40	100	6	25.42	61.76	1000	Loamy	Kharif	Nashik	Avocado
85	40	100	6	25.42	61.76	1000	Loamy	Kharif	Nashik	Avocado
160	45	130	6.6	25.42	61.76	2100	Loamy	Kharif	Nashik	Bamboo
150	40	120	6.5	25.42	61.76	2000	Loamy	Kharif	Nashik	Bamboo
140	35	110	6.4	25.42	61.76	1900	Loamy	Kharif	Nashik	Bamboo
150	40	120	6.5	25.42	61.76	2000	Loamy	Kharif	Nashik	Bamboo
155	50	135	6.5	25.42	61.76	2150	Loamy	Kharif	Nashik	Bamboo
50	32	42	5.8	25.42	61.76	550	Loamy	Kharif	Nashik	Barnyard Millet
